num,PNMOS,Wfin [nm],amp.,corr.x,corr.y,alpha,Ioff,IDSAT,IDLIN,IDLO,IDHI,VTSAT,VTLIN,SS,DIBL(mV),sigma(VTSAT)[mV]
1,N,7,0.193,61.002,110.618,1.782,2.394E-12,4.311E-05,1.679E-05,7.478E-07,4.184E-05,0.339,0.347,61.695,12.3077,2.618302924
,,,,,,,2.043E-12,4.262E-05,1.662E-05,6.765E-07,4.144E-05,0.343,0.35,61.553,10.7692,
,,,,,,,2.537E-12,4.398E-05,1.697E-05,7.809E-07,4.265E-05,0.338,0.346,61.746,12.3077,
,,,,,,,2.363E-12,4.361E-05,1.699E-05,7.403E-07,4.233E-05,0.34,0.347,61.698,10.7692,
,,,,,,,2.159E-12,4.283E-05,1.668E-05,7.025E-07,4.166E-05,0.341,0.349,61.591,12.3077,
,,,,,,,1.899E-12,4.251E-05,1.593E-05,6.445E-07,4.125E-05,0.344,0.352,61.52,12.3077,
,,,,,,,1.933E-12,4.324E-05,1.655E-05,6.544E-07,4.197E-05,0.344,0.351,61.536,10.7692,
,,,,,,,2.615E-12,4.316E-05,1.715E-05,7.856E-07,4.193E-05,0.338,0.346,61.811,12.3077,
,,,,,,,2.097E-12,4.266E-05,1.662E-05,6.905E-07,4.141E-05,0.342,0.35,61.559,12.3077,
,,,,,,,2.426E-12,4.385E-05,1.727E-05,7.57E-07,4.257E-05,0.339,0.347,61.732,12.3077,
,,,,,,,1.808E-12,4.256E-05,1.636E-05,6.245E-07,4.135E-05,0.345,0.352,61.457,10.7692,
,,,,,,,2.462E-12,4.268E-05,1.693E-05,7.529E-07,4.149E-05,0.339,0.347,61.775,12.3077,
,,,,,,,2.376E-12,4.296E-05,1.667E-05,7.463E-07,4.173E-05,0.34,0.347,61.681,10.7692,
,,,,,,,2.206E-12,4.233E-05,1.633E-05,7.003E-07,4.117E-05,0.342,0.349,61.692,10.7692,
,,,,,,,2.587E-12,4.392E-05,1.696E-05,7.875E-07,4.263E-05,0.338,0.346,61.768,12.3077,
,,,,,,,2.042E-12,4.235E-05,1.654E-05,6.764E-07,4.117E-05,0.343,0.35,61.531,10.7692,
,,,,,,,2.244E-12,4.238E-05,1.677E-05,7.073E-07,4.122E-05,0.341,0.348,61.657,10.7692,
,,,,,,,2.591E-12,4.33E-05,1.679E-05,7.817E-07,4.201E-05,0.338,0.346,61.771,12.3077,
,,,,,,,2.336E-12,4.356E-05,1.714E-05,7.284E-07,4.226E-05,0.34,0.348,61.715,12.3077,
,,,,,,,2.702E-12,4.384E-05,1.715E-05,7.913E-07,4.25E-05,0.338,0.346,61.881,12.3077,
,,,,,,,2.445E-12,4.329E-05,1.679E-05,7.571E-07,4.203E-05,0.339,0.347,61.724,12.3077,
,,,,,,,1.782E-12,4.218E-05,1.619E-05,6.199E-07,4.105E-05,0.345,0.353,61.447,12.3077,
,,,,,,,2.7E-12,4.271E-05,1.691E-05,7.946E-07,4.15E-05,0.337,0.345,61.852,12.3077,
,,,,,,,2.602E-12,4.339E-05,1.725E-05,7.723E-07,4.214E-05,0.338,0.346,61.874,12.3077,
,,,,,,,2.359E-12,4.299E-05,1.673E-05,7.37E-07,4.172E-05,0.34,0.348,61.686,12.3077,
,,,,,,,2.017E-12,4.165E-05,1.632E-05,6.724E-07,4.057E-05,0.343,0.35,61.536,10.7692,
,,,,,,,1.829E-12,4.187E-05,1.628E-05,6.273E-07,4.077E-05,0.345,0.352,61.474,10.7692,
,,,,,,,2.333E-12,4.358E-05,1.7E-05,7.379E-07,4.226E-05,0.34,0.348,61.684,12.3077,
,,,,,,,1.921E-12,4.279E-05,1.675E-05,6.565E-07,4.163E-05,0.344,0.351,61.481,10.7692,
,,,,,,,2.158E-12,4.251E-05,1.644E-05,6.978E-07,4.127E-05,0.342,0.349,61.641,10.7692,
