num,PNMOS,Wfin [nm],amp.,corr.x,corr.y,alpha,Ioff,IDSAT,IDLIN,IDLO,IDHI,VTSAT,VTLIN,SS,DIBL(mV),sigma(VTSAT)[mV]
175,N,7,0.625,17.007,173.857,0.672,1.96E-12,4.24E-05,1.62E-05,6.72E-07,4.02E-05,0.343,0.353,61.501,15.3846,9.966116652
,N,7,0.625,17.007,173.857,0.672,6.14E-13,3.63E-05,1.45E-05,2.83E-07,3.49E-05,0.37,0.377,60.804,10.7692,
,N,7,0.625,17.007,173.857,0.672,7.44E-13,3.18E-05,1.39E-05,2.89E-07,3.15E-05,0.37,0.374,61.2,6.1538,
,N,7,0.625,17.007,173.857,0.672,1.48E-12,4.1E-05,1.6E-05,5.12E-07,4E-05,0.352,0.358,61.429,9.2308,
,N,7,0.625,17.007,173.857,0.672,1.93E-12,4.39E-05,1.77E-05,6.51E-07,4.25E-05,0.344,0.353,61.569,13.8462,
,N,7,0.625,17.007,173.857,0.672,1.2E-12,3.69E-05,1.45E-05,4.48E-07,3.58E-05,0.356,0.363,61.272,10.7692,
,N,7,0.625,17.007,173.857,0.672,1.61E-12,3.66E-05,1.4E-05,5.49E-07,3.57E-05,0.349,0.355,61.348,9.2308,
,N,7,0.625,17.007,173.857,0.672,1.53E-12,4.03E-05,1.58E-05,5.35E-07,3.88E-05,0.35,0.357,61.406,10.7692,
,N,7,0.625,17.007,173.857,0.672,2.26E-12,3.95E-05,1.62E-05,6.95E-07,3.85E-05,0.342,0.351,61.827,13.8462,
,N,7,0.625,17.007,173.857,0.672,1.92E-12,4.21E-05,1.59E-05,6.32E-07,4.07E-05,0.345,0.353,61.627,12.3077,
,N,7,0.625,17.007,173.857,0.672,1.18E-12,4.04E-05,1.7E-05,4.55E-07,3.94E-05,0.355,0.363,61.232,12.3077,
,N,7,0.625,17.007,173.857,0.672,2.46E-12,4.1E-05,1.48E-05,7.58E-07,3.96E-05,0.339,0.349,61.73,15.3846,
,N,7,0.625,17.007,173.857,0.672,3.9E-12,4.21E-05,1.69E-05,9.5E-07,4.09E-05,0.331,0.341,62.348,15.3846,
,N,7,0.625,17.007,173.857,0.672,2.61E-12,4.37E-05,1.64E-05,8.02E-07,4.18E-05,0.337,0.348,61.783,16.9231,
,N,7,0.625,17.007,173.857,0.672,2.54E-12,4.22E-05,1.61E-05,7.45E-07,4.09E-05,0.339,0.349,61.987,15.3846,
,N,7,0.625,17.007,173.857,0.672,3.07E-12,4.17E-05,1.65E-05,8.58E-07,4.03E-05,0.335,0.344,61.873,13.8462,
,N,7,0.625,17.007,173.857,0.672,1.99E-12,4.17E-05,1.64E-05,6.49E-07,4.06E-05,0.344,0.352,61.648,12.3077,
,N,7,0.625,17.007,173.857,0.672,3.63E-12,4.1E-05,1.65E-05,8.26E-07,3.98E-05,0.336,0.343,62.617,10.7692,
,N,7,0.625,17.007,173.857,0.672,4.73E-12,4.19E-05,1.7E-05,9.84E-07,4.08E-05,0.329,0.339,62.834,15.3846,
,N,7,0.625,17.007,173.857,0.672,1.83E-12,3.82E-05,1.48E-05,6E-07,3.72E-05,0.346,0.353,61.596,10.7692,
,N,7,0.625,17.007,173.857,0.672,1.56E-12,4.07E-05,1.64E-05,5.24E-07,3.97E-05,0.351,0.357,61.678,9.2308,
,N,7,0.625,17.007,173.857,0.672,2.25E-12,3.7E-05,1.5E-05,7.08E-07,3.62E-05,0.341,0.35,61.65,13.8462,
